zip,week_of_year,year,Number of patients
0,1,2019,1
0,3,2016,1
0,4,2020,1
0,5,2017,1
0,8,2016,1
0,11,2017,1
0,12,2017,1
0,17,2019,1
0,20,2016,1
0,21,2017,1
0,26,2019,1
0,32,2019,2
0,36,2016,1
0,37,2019,1
0,38,2019,1
0,43,2017,1
0,43,2019,1
0,46,2015,1
0,51,2018,1
0,52,2015,1
0,52,2018,1
0,52,2019,2
926,9,2018,1
926,10,2020,1
926,45,2019,1
1460,7,2016,1
1469,38,2018,1
1719,2,2020,1
1719,43,2016,1
1719,48,2020,1
1719,49,2017,1
1719,51,2017,1
1845,30,2017,1
1852,16,2019,1
2151,12,2020,1
2445,7,2016,1
2446,2,2017,1
2464,2,2018,1
2464,29,2017,1
2478,13,2016,1
2807,25,2019,1
2818,13,2017,1
2885,8,2020,1
4103,6,2020,1
5403,7,2020,1
5481,41,2019,1
6071,25,2019,1
6071,41,2016,1
6119,2,2020,1
6119,36,2019,1
6231,1,2018,1
6231,44,2017,1
6820,1,2020,1
7009,36,2019,1
7024,14,2016,1
7024,20,2017,1
7030,3,2017,1
7032,49,2018,1
7060,17,2018,1
7087,28,2017,1
7304,50,2018,1
7621,4,2020,1
7722,7,2018,1
7733,25,2018,1
7830,12,2018,1
7830,21,2016,1
7869,46,2015,1
7901,33,2019,1
7928,23,2019,1
7960,6,2018,1
8204,7,2020,1
8204,19,2019,1
8690,7,2016,1
8721,47,2017,1
8807,17,2018,1
8869,25,2020,1
8869,36,2019,1
8869,46,2015,1
10012,5,2020,1
10012,51,2019,1
10014,11,2016,1
10016,53,2016,1
10019,9,2018,1
10023,29,2017,1
10282,48,2017,1
10301,5,2017,1
10502,30,2017,1
10504,6,2020,1
10583,49,2020,1
10591,7,2016,1
10913,32,2018,1
10913,42,2017,1
11001,9,2018,1
11021,19,2017,1
11021,24,2019,1
11102,19,2018,1
11105,6,2016,1
11205,49,2016,1
11216,8,2016,1
11223,13,2018,1
11235,23,2017,1
11238,2,2018,1
11238,52,2019,1
11370,17,2016,1
11375,3,2019,1
11375,21,2016,1
11375,21,2018,1
11377,15,2017,1
11563,52,2016,1
11572,7,2020,1
11577,42,2018,1
11581,29,2016,1
11717,2,2017,1
12078,9,2020,1
12533,23,2018,1
13029,39,2017,1
